,label,count
0,palaeocystodinium,69
1,areoligera,65
2,phthanoperidinium,62
3,inaperturopollenites,50
4,deflandrea,43
5,palaeoperidinium,39
6,eatonicysta,33
7,spiniferites,32
8,svalbardella,30
9,wetzeliella,29
10,areosphaeridium,28
11,cleistosphaeridium,26
12,glaphyrocysta,26
13,bisaccate,25
14,alisocysta,25
15,subtilisphaera,25
16,isabelidinium,23
17,hystrichokolpoma,23
18,hystrichosphaeridium,22
19,azolla,22
20,dinopterygium,21
21,cerodinium,21
22,stephanopyxis,20
23,cordosphaeridium,18
24,axiodinium,14
25,enneadocysta,13
26,chatangiella,13
27,thalassiphora,12
28,minisphaeridium,11
29,heteraulacacysta,11
30,odontochitina,10
31,caryapollenites,10
32,dapsilidinium,9
33,distatodinium,8
34,reticulatosphaera,8
35,nannoceratopsis,8
36,licracysta,7
37,trithyrodinium,7
38,caligodinium,7
39,raphidodinium,7
40,barssidinium,7
41,diphyes,6
42,corrudinium,6
43,achomosphaera,6
44,palambages,6
45,apteodinium,6
46,rhombodinium,6
47,operculodinium,6
48,leiosphaeridia,5
49,heterosphaeridium,5
50,microthallites,5
51,triatriopollenites,5
52,dracodinium,5
53,nematosphaeropsis,4
54,pyxilla,4
55,hystrichostrogylon,4
56,perinopollenites,4
57,circulodinium,4
58,palaeohystrichophora,4
59,chiropteridium,3
60,laciniadinium,3
61,tiliaepollenites,3
62,lingulodinium,3
63,impagidinium,3
64,melitasphaeridium,3
65,sequoiapollenites,3
66,homotryblium,3
67,alterbidinium,3
68,oligosphaeridium,3
69,cerebrocysta,2
70,apectodinium,2
71,compositoipollenites,2
72,wetzelielloideae,2
73,pterospermella,2
74,pyxidiniopsis,2
75,paucilobiomorpha,2
76,paralecaniella,2
77,laevigatosporites,2
78,baculatiporites/osmundacidites,1
79,callimothallus,1
80,radiolaria,1
81,botryococcus,1
82,blade,1
83,scolecodont,1
84,sheshukovia,1
85,baculatisporites,1
86,fromea,1
87,pluricellaesporites,1
88,simplicidinium,1
89,spiniferella,1
90,sponge,1
91,stenodinium,1
92,aquilapollenites,1
93,tanyosphaeridium,1
94,tintinnid??,1
95,triceratium,1
96,trilites,1
97,trinacria,1
98,azpeitia,1
99,pentadinium,1
100,phragmothyrites,1
101,microdinium,1
102,ericipites,1
103,fungal,1
104,echinatosporis,1
105,hystrichosphaeropsis,1
106,impletosphaeridium,1
107,distephanus,1
108,lentinia,1
109,lycospora,1
110,deltoidospora,1
111,microthyriacites,1
112,exochosphaeridium,1
113,cyathidites,1
114,cribroperidinium,1
115,cousteaudinium,1
116,coscinodiscus,1
117,mougeotia,1
118,nematosphaeridium,1
119,palaeoglenodinium,1
120,chorate,1
121,chlamydophorella,1
122,acanthomorph,1
